"","Week_index","state","aegypti_trapnight","albopictus_trapnight"
"1",332,"Georgia",0,0.5
"2",333,"Georgia",0,0.5
"3",334,"Georgia",0,0.5
"4",335,"Georgia",0,0.5
"5",336,"Georgia",0,0.5
"6",345,"Georgia",0,2.5
"7",346,"Georgia",0,2.5
"8",347,"Georgia",0,2.5
"9",348,"Georgia",0,2.5
"10",349,"Georgia",0,3.46428571428571
"11",350,"Georgia",0,4.42857142857143
"12",351,"Georgia",0,4.42857142857143
"13",352,"Georgia",0,4.42857142857143
"14",353,"Georgia",0,4.42857142857143
"15",392,"Florida",1.66666666666667,1.45833333333333
"16",393,"Florida",1.66666666666667,1.45833333333333
"17",394,"Florida",1.66666666666667,1.45833333333333
"18",395,"Florida",1.66666666666667,1.45833333333333
"19",396,"Florida",1.66666666666667,1.45833333333333
"20",397,"Florida",1.35460992907801,1.64937943262411
"21",398,"Florida",1.04255319148936,1.84042553191489
"22",399,"Florida",1.04255319148936,1.84042553191489
"23",400,"Florida",1.04255319148936,1.84042553191489
"24",401,"Florida",1.09270516717325,2.23449848024316
"25",401,"Georgia",0,2.2
"26",402,"Florida",1.14285714285714,2.62857142857143
"27",402,"Georgia",0,2.2
"28",403,"Florida",1.14285714285714,2.62857142857143
"29",403,"Georgia",0,2.2
"30",404,"Florida",1.14285714285714,2.62857142857143
"31",404,"Georgia",0,2.2
"32",405,"Florida",1.14285714285714,2.62857142857143
"33",405,"Georgia",0,2.2
"34",406,"Florida",0.625,3.140625
"35",407,"Florida",0.625,3.140625
"36",408,"Florida",0.625,3.140625
"37",409,"Florida",0.625,3.140625
"38",410,"Florida",0.759868421052632,2.37294407894737
"39",410,"Georgia",0,0
"40",411,"Florida",0.894736842105263,1.60526315789474
"41",411,"Georgia",0,0
"42",412,"Florida",0.894736842105263,1.60526315789474
"43",412,"Georgia",0,0
"44",413,"Florida",0.894736842105263,1.60526315789474
"45",413,"Georgia",0,0
"46",414,"Florida",0.811004784688995,1.85944976076555
"47",414,"Georgia",0,0
"48",415,"Florida",0.727272727272727,2.11363636363636
"49",416,"Florida",0.727272727272727,2.11363636363636
"50",417,"Florida",0.727272727272727,2.11363636363636
"51",418,"Florida",0.727272727272727,2.11363636363636
"52",419,"Florida",0.322516835016835,1.11565656565657
"53",420,"Florida",0.120138888888889,0.616666666666667
"54",421,"Florida",0.120138888888889,0.616666666666667
"55",422,"Florida",0.120138888888889,0.616666666666667
"56",423,"Florida",0.273504818594104,1.8312925170068
"57",424,"Florida",0.42687074829932,3.04591836734694
"58",425,"Florida",0.42687074829932,3.04591836734694
"59",426,"Florida",0.42687074829932,3.04591836734694
"60",427,"Florida",0.486842140475388,2.34150757077024
"61",428,"Florida",0.546813532651456,1.63709677419355
"62",429,"Florida",0.546813532651456,1.63709677419355
"63",430,"Florida",0.546813532651456,1.63709677419355
"64",431,"Florida",0.546813532651456,1.63709677419355
"65",432,"Florida",0.442320165018538,1.36831690561529
"66",433,"Florida",0.337826797385621,1.09953703703704
"67",434,"Florida",0.337826797385621,1.09953703703704
"68",435,"Florida",0.337826797385621,1.09953703703704
"69",436,"Florida",0.431314192343604,1.17063492063492
"70",437,"Florida",0.524801587301587,1.2417328042328
"71",438,"Florida",0.524801587301587,1.2417328042328
"72",439,"Florida",0.524801587301587,1.2417328042328
"73",440,"Florida",0.581845238095238,0.883829365079365
"74",441,"Florida",0.638888888888889,0.525925925925926
"75",442,"Florida",0.638888888888889,0.525925925925926
"76",443,"Florida",0.638888888888889,0.525925925925926
"77",444,"Florida",0.638888888888889,0.525925925925926
"78",445,"Florida",0.433738425925926,0.849315200617284
"79",446,"Florida",0.0234375,1.49609375
"80",447,"Florida",0.0234375,1.49609375
"81",448,"Florida",0.0234375,1.49609375
"82",449,"Florida",0.01171875,0.798608672752809
"83",449,"Georgia",0,2.5
"84",450,"Florida",0,0.101123595505618
"85",450,"Georgia",0,2.5
"86",451,"Florida",0,0.101123595505618
"87",451,"Georgia",0,2.5
"88",452,"Florida",0,0.101123595505618
"89",452,"Georgia",0,2.5
"90",453,"Florida",0,0.101123595505618
"91",453,"Georgia",0,2.5
"92",454,"Florida",0.0127388535031847,0.152866242038217
"93",454,"Georgia",0,4.5625
"94",455,"Florida",0.0127388535031847,0.152866242038217
"95",455,"Georgia",0,4.5625
"96",456,"Florida",0.0127388535031847,0.152866242038217
"97",456,"Georgia",0,4.5625
"98",457,"Florida",0.0127388535031847,0.152866242038217
"99",457,"Georgia",0,4.5625
"100",458,"Florida",0.0326852162252766,0.15099452452788
"101",458,"Georgia",0,4.5625
"102",459,"Florida",0.0526315789473684,0.149122807017544
"103",460,"Florida",0.0526315789473684,0.149122807017544
"104",461,"Florida",0.0526315789473684,0.149122807017544
"105",462,"Florida",0.0263157894736842,0.0878947368421053
"106",462,"Georgia",0,0
"107",463,"Florida",0,0.0266666666666667
"108",463,"Georgia",0,0
"109",464,"Florida",0,0.0266666666666667
"110",464,"Georgia",0,0
"111",465,"Florida",0,0.0266666666666667
"112",465,"Georgia",0,0
"113",466,"Florida",0,0.0266666666666667
"114",466,"Georgia",0,0
"115",467,"Florida",0,0
"116",468,"Florida",0,0
"117",469,"Florida",0,0
"118",470,"Florida",0,0
"119",471,"Florida",0.0302355212355212,0.0376879021879022
"120",472,"Florida",0.048376833976834,0.0603006435006435
"121",473,"Florida",0.048376833976834,0.0603006435006435
"122",474,"Florida",0.048376833976834,0.0603006435006435
"123",475,"Florida",0.045368469901111,0.150526700725014
"124",476,"Florida",0.0423601058253881,0.240752757949384
"125",477,"Florida",0.0423601058253881,0.240752757949384
"126",478,"Florida",0.0423601058253881,0.240752757949384
"127",479,"Florida",0.0686773924537649,0.155713758422647
"128",480,"Florida",0.0949946790821417,0.0706747588959095
"129",481,"Florida",0.0949946790821417,0.0706747588959095
"130",482,"Florida",0.0949946790821417,0.0706747588959095
"131",483,"Florida",0.0949946790821417,0.0706747588959095
"132",484,"Florida",0.0896183181579077,0.0659859902696674
"133",485,"Florida",0.0842419572336737,0.0612972216434252
"134",486,"Florida",0.0842419572336737,0.0612972216434252
"135",487,"Florida",0.0842419572336737,0.0612972216434252
"136",488,"Florida",0.219609082438034,0.166793287582107
"137",489,"Florida",0.354976207642394,0.272289353520788
"138",490,"Florida",0.354976207642394,0.272289353520788
"139",491,"Florida",0.354976207642394,0.272289353520788
"140",492,"Florida",0.354976207642394,0.272289353520788
"141",493,"Florida",0.521511492170833,1.27255806464598
"142",494,"Florida",0.521511492170833,1.27255806464598
"143",495,"Florida",0.521511492170833,1.27255806464598
"144",496,"Florida",0.521511492170833,1.27255806464598
"145",497,"Florida",0.6181525442558,1.19771556748594
"146",497,"Georgia",0,2
"147",498,"Florida",0.714793596340766,1.1228730703259
"148",498,"Georgia",0,2
"149",499,"Florida",0.714793596340766,1.1228730703259
"150",499,"Georgia",0,2
"151",500,"Florida",0.714793596340766,1.1228730703259
"152",500,"Georgia",0,2
"153",501,"Florida",0.548594914390051,0.899750312302158
"154",501,"Georgia",0,2.44285714285714
"155",502,"Florida",0.382396232439336,0.676627554278416
"156",502,"Georgia",0,2.66428571428571
"157",503,"Florida",0.382396232439336,0.676627554278416
"158",503,"Georgia",0,2.66428571428571
"159",504,"Florida",0.382396232439336,0.676627554278416
"160",504,"Georgia",0,2.66428571428571
"161",505,"Florida",0.382396232439336,0.676627554278416
"162",505,"Georgia",0,2.66428571428571
"163",506,"Florida",0.455440540462092,0.621636570288088
"164",506,"Georgia",0,4.2047619047619
"165",507,"Florida",0.528484848484848,0.56664558629776
